Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,"Location",County,State,Modes,Digital Access
146.685000,146.08500,-,94.8,CSQ,W0BYU,"Maryville",Nodaway,Missouri,FM ,
146.685000,146.08500,-,127.3,127.3,KF0ULO,"Marshall - Fitzgibbon Hospital",Saline,Missouri,FM DMR EchoLink ,1
146.685000,146.08500,-,100.0,100.0,W0QMF,"Cape Girardeau - River Radio Transmitter Tower",Cape Girardeau,Missouri,FM EchoLink ,
146.670000,146.07000,-,,,K0NXA,"Willow Springs - MSHP Troop G HQ",Howell,Missouri,DMR DSTAR NXDN P-25 Fusion ,12455
146.670000,146.07000,-,141.3,141.3,WB0HSI,"O'Fallon - Water Tank",St Charles,Missouri,FM Fusion ,
146.670000,146.07000,-,91.5,91.5,KB8VLL,"El Dorado Springs - Cedar Springs Tower",Cedar,Missouri,FM ,
146.655000,146.05500,-,94.8,156.7,N0SAX,"Carrollton - East Water Tower",Carroll,Missouri,FM EchoLink ,
146.655000,146.05500,-,91.5,91.5,K0NXA,"Branson - Inspiration Tower",Taney,Missouri,FM AllStar EchoLink P-25 ,656
146.640000,146.04000,-,151.4,,WB0YRG,"Trimble",Clinton,Missouri,FM ,
146.640000,146.04000,-,110.9,110.9,KF5QMA,"Steelville",Crawford,Missouri,FM ,
146.640000,146.04000,-,162.2,162.2,WX0GCS,"Springfield - Troop D MSHP HQ",Greene,Missouri,FM ,
146.625000,146.02500,-,100.0,100.0,K0QOD,"Sainte Genevieve",Ste. Genevieve,Missouri,FM ,
146.625000,146.02500,-,151.4,151.4,K0BSJ,"Pleasant Hill",Cass,Missouri,FM ,
146.625000,146.02500,-,103.5,103.5,W0KEM,"Hannibal",Marion,Missouri,FM ,
146.625000,146.02500,-,131.8,,AA0NC,"Eldon",Miller,Missouri,FM ,
146.610000,146.01000,-,100.0,,KC0TPS,"Saint Louis - Bates/Virginia",St Louis City,Missouri,FM ,
146.610000,146.01000,-,127.3,,WX0BC,"Columbia",Boone,Missouri,FM ,
146.490000,147.49000,+,,,N0KQG,"Defiance",St Charles,Missouri,DMR ,2
146.450000,147.45000,+,,,WB0YRG,"Pleasant Hill",Cass,Missouri,DMR Fusion ,4
146.450000,147.45000,+,141.3,141.3,KD0ZEA,"Pacific - Signal Hill",Franklin,Missouri,FM DSTAR ,
145.490000,144.89000,-,141.3,141.3,W0ECA,"O'Fallon",St Charles,Missouri,FM ,
145.490000,144.89000,-,,,KC0KW,"Kansas City - Royals Stadium",Jackson,Missouri,Fusion WIRES-X ,
145.490000,144.89000,-,136.5,136.5,N0NWS,"Fordland",Webster,Missouri,FM AllStar EchoLink ,
145.470000,144.87000,-,,,K0NXA,"Conway - Water Tower",Laclede,Missouri,DMR ,12
145.450000,144.85000,-,110.9,110.9,W0EEE,"Rolla - TJ Residence Hall",Phelps,Missouri,FM ,
145.450000,144.85000,-,91.5,91.5,W0HL,"Nevada",Vernon,Missouri,FM ,
145.430000,144.83000,-,107.2,85.4,KA0FKF,"Springfield",Greene,Missouri,FM ,
145.430000,144.83000,-,,,W0MB,"Gladstone - Water Tank",Clay,Missouri,FM ,
145.410000,144.81000,-,100.0,100.0,K0RBR,"O'Fallon - Water Tank",St Charles,Missouri,FM ,
145.410000,144.81000,-,,,,"Lee's Summit",Jackson,Missouri,Fusion ,
145.410000,144.81000,-,136.5,136.5,N0NWS,"Branson",Taney,Missouri,FM ,
